Model,Dataset,Accuracy,Precision,Recall,F1,EER
seed42,jennifer_evc_angry,0.5844806007509387,0.55052790346908,0.9147869674185464,0.687382297551789,0.2105263157896363
seed42,jennifer_evc_sad,0.7647058823529411,0.7032755298651252,0.9147869674185464,0.7952069716775599,0.1453634085213033
seed1234,jennifer_evc_angry,0.7734668335419274,0.7270833333333333,0.87468671679198,0.7940841865756542,0.18499999999900885
seed1234,jennifer_evc_sad,0.9148936170212766,0.9509536784741145,0.87468671679198,0.9112271540469974,0.09022556390978409
seed2025,jennifer_evc_angry,0.7008760951188986,0.6282051282051282,0.9824561403508771,0.7663734115347018,0.09523809523811788
seed2025,jennifer_evc_sad,0.7271589486858573,0.6500829187396352,0.9824561403508771,0.782435129740519,0.09523809523817632
