Model,Dataset,Accuracy,Precision,Recall,F1,EER
seed42,morgan_evc_angry,0.4818523153942428,0.4899328859060403,0.9147869674185464,0.6381118881118881,0.33583959899770566
seed42,morgan_evc_sad,0.6257822277847309,0.5793650793650794,0.9147869674185464,0.7094266277939747,0.23749999999916177
seed1234,morgan_evc_angry,0.6257822277847309,0.5836120401337793,0.87468671679198,0.7001003009027081,0.2932330827068227
seed1234,morgan_evc_sad,0.7546933667083855,0.705050505050505,0.87468671679198,0.7807606263982103,0.23057644110275682
seed2025,morgan_evc_angry,0.5669586983729662,0.5362517099863201,0.9824561403508771,0.6938053097345133,0.2005012531328321
seed2025,morgan_evc_sad,0.6270337922403004,0.5739385065885798,0.9824561403508771,0.7245841035120147,0.2280701754385937
