Model,Dataset,Accuracy,Precision,Recall,F1,EER
seed42,default,0.951188986232791,0.9864864864864865,0.9147869674185464,0.9492847854356307,0.04761904761904716
seed42,vc_david,0.4568210262828536,0.477124183006536,0.9147869674185464,0.627147766323024,0.7525000000003124
seed42,vc_jennifer,0.9486858573216521,0.9811827956989247,0.9147869674185464,0.9468223086900129,0.047619047619103225
seed42,vc_morgan,0.9386733416770964,0.9605263157894737,0.9147869674185464,0.9370988446726572,0.06265664160401008
seed1234,default,0.9374217772215269,1.0,0.87468671679198,0.9331550802139037,0.03508771929846811
seed1234,vc_david,0.43679599499374216,0.465954606141522,0.87468671679198,0.60801393728223,0.7969924812030075
seed1234,vc_jennifer,0.934918648310388,0.9943019943019943,0.87468671679198,0.9306666666666666,0.045112781954887216
seed1234,vc_morgan,0.9286608260325406,0.9803370786516854,0.87468671679198,0.9245033112582781,0.05749999999982971
seed2025,default,0.9899874843554443,0.9974554707379135,0.9824561403508771,0.98989898989899,0.015037593985139543
seed2025,vc_david,0.490613266583229,0.494949494949495,0.9824561403508771,0.6582703610411419,0.7969924812030076
seed2025,vc_jennifer,0.9499374217772215,0.9223529411764706,0.9824561403508771,0.9514563106796117,0.03249999999987606
seed2025,vc_morgan,0.934918648310388,0.897025171624714,0.9824561403508771,0.937799043062201,0.04511278195488698
