Model,Dataset,Accuracy,Precision,Recall,F1,EER
seed42,david_evc_angry,0.8948685857321652,0.8795180722891566,0.9147869674185464,0.8968058968058968,0.09022556390977354
seed42,david_evc_sad,0.5619524405506884,0.5359765051395007,0.9147869674185464,0.6759259259259259,0.3775000000004245
seed1234,david_evc_angry,0.9036295369211514,0.9281914893617021,0.87468671679198,0.9006451612903226,0.09250000000049728
seed1234,david_evc_sad,0.5844806007509387,0.5530903328050714,0.87468671679198,0.6776699029126214,0.4099999999999542
seed2025,david_evc_angry,0.8748435544430538,0.8082474226804124,0.9824561403508771,0.8868778280542986,0.05012531328322969
seed2025,david_evc_sad,0.5281602002503129,0.5144356955380578,0.9824561403508771,0.6752799310938846,0.44611528822055385
